ticket_id,fault_id,task_id,task_name,task_description,task_status,task_assigned_dept,subcenter,task_start_time,task_end_time,task_start_time_db,task_end_time_db,task_responsible,task_resolver,task_closer_id,task_initiator_dept
113455,158250,474821,Escalated,"Site is still down. What type of power problem, please share details information ",escalated,"Regional Implementation & Operations 3",Faridpur,"2019-04-11 12:09:53",,"2019-04-11 12:10:05",,NA,,,NOC
113501,158307,475201,Escalated,"Site is still down ",escalated,"Regional Implementation & Operations 3",Faridpur,"2019-04-11 17:00:59",,"2019-04-11 17:01:09",,NA,,,NOC
113582,158402,475202,Escalated,"Site is still down ",escalated,"Regional Implementation & Operations 3",Faridpur,"2019-04-11 17:01:26",,"2019-04-11 17:01:35",,NA,,,NOC
115348,160652,475203,Escalated,"Site is still down ",escalated,"Regional Implementation & Operations 3",Faridpur,"2019-04-11 17:02:09",,"2019-04-11 17:02:22",,NA,,,NOC
115356,160663,475204,Escalated,"Site is still down ",escalated,"Regional Implementation & Operations 3",Faridpur,"2019-04-11 17:02:43",,"2019-04-11 17:02:51",,NA,,,NOC
115399,160718,475207,Escalated,"Site is still down ",escalated,"Regional Implementation & Operations 3",Faridpur,"2019-04-11 17:03:46",,"2019-04-11 17:03:54",,NA,,,NOC
136958,188035,475211,Escalated,"Site is still down ",escalated,"Regional Implementation & Operations 3",Faridpur,"2019-04-11 17:04:55",,"2019-04-11 17:05:06",,NA,,,NOC
136961,188038,475212,Escalated,"Site is still down ",escalated,"Regional Implementation & Operations 3",Faridpur,"2019-04-11 17:05:19",,"2019-04-11 17:05:29",,NA,,,NOC
144152,197098,475219,Escalated,"Site is still down ",escalated,"Regional Implementation & Operations 3",Faridpur,"2019-04-11 17:08:14",,"2019-04-11 17:08:23",,NA,,,NOC
144154,197100,475221,Escalated,"Site is still down ",escalated,"Regional Implementation & Operations 3",Faridpur,"2019-04-11 17:08:38",,"2019-04-11 17:08:49",,NA,,,NOC
144156,197102,475225,Escalated,"What type of power problem ,Please details ",escalated,"Regional Implementation & Operations 3",Faridpur,"2019-04-11 17:09:45",,"2019-04-11 17:10:32",,NA,,,NOC
144159,197105,475226,Escalated,"Site is still down",escalated,"Regional Implementation & Operations 3",Faridpur,"2019-04-11 17:11:18",,"2019-04-11 17:11:44",,NA,,,NOC
144167,197113,475231,Escalated,"Site is still down ",escalated,"Regional Implementation & Operations 3",Faridpur,"2019-04-11 17:13:41",,"2019-04-11 17:13:54",,NA,,,NOC
144165,197111,475234,Escalated,"Site is still down, Please take care ",escalated,"Regional Implementation & Operations 3",Faridpur,"2019-04-11 17:14:51",,"2019-04-11 17:15:06",,NA,,,NOC
144160,197106,475235,Escalated,"Site is still down, Please take care ",escalated,"Regional Implementation & Operations 3",Faridpur,"2019-04-11 17:15:26",,"2019-04-11 17:15:35",,NA,,,NOC
146530,200224,475238,Escalated,"What type of power problem?, please details",escalated,"Regional Implementation & Operations 3",Faridpur,"2019-04-11 17:17:35",,"2019-04-11 17:17:47",,NA,,,NOC
146531,200225,475241,Escalated,"Site is still down. What type of power problem? Please details",escalated,"Regional Implementation & Operations 3",Faridpur,"2019-04-11 17:18:03",,"2019-04-11 17:18:37",,NA,,,NOC
