"Searched Elements :  (event_time_from_temp = 2019-06-09 00:00:00) (event_time_to_temp = 2019-06-16 00:00:00) (element_type_temp = site)"
"Ticket ID","Ticket Title","Fault ID","Problem Category","Element Name",Client,"Client Side Impact",Region,subcenter,District,"Event Time","Escalation Time","Clear Time",Reason,"Provider Side Impact","Link Type","Issue Type",Provider
177045,"DHK_X2776 ",238204,"Site Down",GPSDR025HTR01_DHK_X2776,Banglalink," ","Regional Implementation & Operations 1",Gazipur,Gazipur,"2019-06-09 01:22:46","2019-06-09 01:27:45","2019-06-09 01:36:31","OH Problem : Core break/bend inside TJ Box"," ",OH,NTTN,SCL
177056,DHJTB22,238215,"Site Down",DHJAT028JNR01_DHJTB22,Robi," ","Regional Implementation & Operations 1",Paltan,Dhaka,"2019-06-09 04:05:13","2019-06-09 04:09:12","2019-06-09 13:02:35","Hardware Problem : Device Malfunction/ Hang"," ",OH,NTTN,SCL
177058,KHU_X0124,238217,"Site Down",KHU_X0124,Banglalink," ","Regional Implementation & Operations 3",Jessore,Jessore,"2019-06-09 05:58:42","2019-06-09 06:06:42","2019-06-09 09:29:49","OH Problem : Patch Chord Problem"," ",OH,NTTN,SCL
177219,"CGPRT15 ",238401,"Site Down",CGCGP011JNR01_CGPRT15,Robi,"CGPRT15 ","Regional Implementation & Operations 2",CTG_North,Chittagong,"2019-06-09 14:19:47","2019-06-09 14:23:44","2019-06-09 16:23:09","OH Problem : Fiber Burnt by Transformer Blast/ Fire Broke out","CGPRT15 ",OH,NTTN,SCL
177311,"CTG0169_Bibirhat,CTG0061,CTG4044",238515,"Site Down",CTG0169,Teletalk,"CTG0169_Bibirhat,CTG0061,CTG4044","Regional Implementation & Operations 2",CTG_North,Chittagong,"2019-06-09 19:45:51","2019-06-09 20:36:50","2019-06-10 03:10:29","OH Problem : Fiber Cut by Cable TV/ ISP/ Local Authority","  ",OH,NTTN,SCL
177311,"CTG0169_Bibirhat,CTG0061,CTG4044",238516,"Site Down",CTG0061,Teletalk,CTG0061,"Regional Implementation & Operations 2",CTG_North,Chittagong,"2019-06-09 19:45:51","2019-06-09 20:36:50","2019-06-10 03:10:29","OH Problem : Fiber Cut by Cable TV/ ISP/ Local Authority","   ",OH,NTTN,SCL
177311,"CTG0169_Bibirhat,CTG0061,CTG4044",238517,"Site Down",CTG4044,Teletalk,CTG4044,"Regional Implementation & Operations 2",CTG_North,Chittagong,"2019-06-09 19:45:51","2019-06-09 20:36:50","2019-06-10 03:10:29","OH Problem : Fiber Cut by Cable TV/ ISP/ Local Authority","   ",OH,NTTN,SCL
177382,"RPSDR027ECS01_RPSDR09 , RPSDR037JNR01_RPSDR62 , RPSDR020JNR01 ",238601,"Site Down",RPSDR09,Robi,"    ","Regional Implementation & Operations 4",Rangpur,Rangpur,"2019-06-10 05:55:25","2019-06-10 06:00:22","2019-06-10 06:31:10","OH Problem : Fiber Stolen","          ",OH,NTTN,SCL
177382,"RPSDR027ECS01_RPSDR09 , RPSDR037JNR01_RPSDR62 , RPSDR020JNR01 ",238602,"Site Down",RPSDR037JNR01_RPSDR62,Robi,"    ","Regional Implementation & Operations 4",Rangpur,Rangpur,"2019-06-10 05:55:25","2019-06-10 06:00:22","2019-06-10 06:31:10","OH Problem : Fiber Stolen","          ",OH,NTTN,SCL
177404,"NSPAL006HTR01_NSPLS02 ",238634,"Site Down",NSPAL006HTR01_NSPLS02,Robi,"    ","Regional Implementation & Operations 1",Uttara,Narsingdi,"2019-06-10 07:03:44","2019-06-10 07:27:38","2019-06-10 10:06:10","OH Problem : TJ Box Damaged","      ",OH,NTTN,SCL
