Region,Client,Count
"Gateway Operations",SCL,1
"Gateway Operations","SCL ICX",17
"Gateway Operations","SCL IIG",44
"Gateway Operations","SCL ITC",20
"Regional Implementation & Operations 1",ADNSL,1
"Regional Implementation & Operations 1",Airtel,22
"Regional Implementation & Operations 1",Banglalink,347
"Regional Implementation & Operations 1",GP,648
"Regional Implementation & Operations 1","Ollo / Multinet",37
"Regional Implementation & Operations 1",Robi,758
"Regional Implementation & Operations 1",Teletalk,340
"Regional Implementation & Operations 1",Info-Sarkar-Ph2,55
"Regional Implementation & Operations 1",Banbeis,1
"Regional Implementation & Operations 1","BD Army",1
"Regional Implementation & Operations 1",SCL,265
"Regional Implementation & Operations 1",Info-Sarkar-Ph3,559
"Regional Implementation & Operations 2",ADNSL,1
"Regional Implementation & Operations 2",Airtel,28
"Regional Implementation & Operations 2",Banglalink,131
"Regional Implementation & Operations 2","BD Com",1
"Regional Implementation & Operations 2",GP,101
"Regional Implementation & Operations 2",Robi,684
"Regional Implementation & Operations 2",Teletalk,238
"Regional Implementation & Operations 2","InterCloud Ltd",4
"Regional Implementation & Operations 2","BD Army",11
"Regional Implementation & Operations 2",SCL,202
"Regional Implementation & Operations 2",Info-Sarkar-Ph3,239
"Regional Implementation & Operations 3",Airtel,2
"Regional Implementation & Operations 3",Banglalink,166
"Regional Implementation & Operations 3",GP,12
"Regional Implementation & Operations 3",Robi,217
"Regional Implementation & Operations 3",Teletalk,180
"Regional Implementation & Operations 3",Info-Sarkar-Ph2,57
"Regional Implementation & Operations 3",SCL,193
"Regional Implementation & Operations 3",Info-Sarkar-Ph3,1033
"Regional Implementation & Operations 4",Airtel,11
"Regional Implementation & Operations 4",Banglalink,105
"Regional Implementation & Operations 4","BD Com",1
"Regional Implementation & Operations 4",GP,22
"Regional Implementation & Operations 4","Ollo / Multinet",1
"Regional Implementation & Operations 4",Robi,256
"Regional Implementation & Operations 4",Teletalk,167
"Regional Implementation & Operations 4",Info-Sarkar-Ph2,25
"Regional Implementation & Operations 4","BD Army",3
"Regional Implementation & Operations 4",SCL,183
"Regional Implementation & Operations 4",Info-Sarkar-Ph3,840
